org.apache.commons.lang3.text.translate.EntityArrays:419	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:420	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.EntityArrays:422	1.0 20.0 0.2182178902359924
org.apache.commons.lang3.text.translate.LookupTranslator:40	1.0 21.0 0.21320071635561041
org.apache.commons.lang3.text.translate.LookupTranslator:41	1.0 21.0 0.21320071635561041
org.apache.commons.lang3.text.translate.LookupTranslator:42	1.0 21.0 0.21320071635561041
org.apache.commons.lang3.text.translate.LookupTranslator:43	1.0 21.0 0.21320071635561041
org.apache.commons.lang3.text.translate.LookupTranslator:56	1.0 21.0 0.21320071635561041
org.apache.commons.lang3.text.translate.LookupTranslator:57	1.0 21.0 0.21320071635561041
org.apache.commons.lang3.text.translate.LookupTranslator:58	1.0 21.0 0.21320071635561041
org.apache.commons.lang3.text.translate.OctalUnescaper:34	1.0 21.0 0.21320071635561041
org.apache.commons.lang3.text.translate.OctalUnescaper:36	1.0 21.0 0.21320071635561041
org.apache.commons.lang3.text.translate.UnicodeEscaper:85	1.0 22.0 0.20851441405707477
org.apache.commons.lang3.text.translate.CharSequenceTranslator:87	1.0 23.0 0.20412414523193154
org.apache.commons.lang3.text.translate.CharSequenceTranslator:88	1.0 23.0 0.20412414523193154
org.apache.commons.lang3.text.translate.CharSequenceTranslator:89	1.0 23.0 0.20412414523193154
org.apache.commons.lang3.text.translate.UnicodeEscaper:51	1.0 23.0 0.20412414523193154
org.apache.commons.lang3.text.translate.UnicodeEscaper:52	1.0 23.0 0.20412414523193154
org.apache.commons.lang3.text.translate.UnicodeEscaper:53	1.0 23.0 0.20412414523193154
org.apache.commons.lang3.text.translate.UnicodeEscaper:54	1.0 23.0 0.20412414523193154
org.apache.commons.lang3.text.translate.UnicodeEscaper:55	1.0 23.0 0.20412414523193154
org.apache.commons.lang3.text.translate.NumericEntityUnescaper:56	1.0 23.0 0.20412414523193154
org.apache.commons.lang3.text.translate.NumericEntityUnescaper:57	1.0 23.0 0.20412414523193154
org.apache.commons.lang3.text.translate.NumericEntityUnescaper:60	1.0 23.0 0.20412414523193154
org.apache.commons.lang3.text.translate.NumericEntityUnescaper:62	1.0 23.0 0.20412414523193154
org.apache.commons.lang3.text.translate.NumericEntityUnescaper:35	1.0 23.0 0.20412414523193154
org.apache.commons.lang3.text.translate.UnicodeUnescaper:30	1.0 23.0 0.20412414523193154
org.apache.commons.lang3.text.translate.CodePointTranslator:29	1.0 27.0 0.1889822365046136
org.apache.commons.lang3.text.translate.CharSequenceTranslator:60	1.0 30.0 0.1796053020267749
org.apache.commons.lang3.text.translate.CharSequenceTranslator:54	1.0 31.0 0.17677669529663687
org.apache.commons.lang3.text.translate.CharSequenceTranslator:58	1.0 31.0 0.17677669529663687
org.apache.commons.lang3.text.translate.CharSequenceTranslator:59	1.0 31.0 0.17677669529663687
org.apache.commons.lang3.text.translate.CharSequenceTranslator:104	1.0 32.0 0.17407765595569785
org.apache.commons.lang3.text.translate.CharSequenceTranslator:76	1.0 33.0 0.17149858514250882
