dir.c:1126,1.0,1.0416666666666667
dir.c:1103,1.0,1.0416666666666667
dir.c:1174,1.0,1.0416666666666667
remake.c:354,1.0,7.15
remake.c:984,1.0,47.71666666666667
read.c:2291,1.0,60.11666666666667
file.c:430,1.0,60.11666666666667
dir.c:805,1.0,110.51666666666667
rule.c:153,1.0,111.26666666666667
implicit.c:178,1.0,111.35
rule.c:443,1.0,111.35833333333333
file.c:463,1.0,111.74166666666666
read.c:2974,1.0,112.18333333333334
read.c:170,1.0,112.18333333333334
remake.c:1177,1.0,112.18333333333334
read.c:1912,1.0,112.18333333333334
dir.c:577,1.0,112.18333333333334
read.c:2595,1.0,112.18333333333334
implicit.c:201,1.0,112.18333333333334
dir.c:742,1.0,112.18333333333334
dir.c:890,1.0,112.18333333333334
remake.c:402,1.0,112.18333333333334
read.c:556,1.0,112.18333333333334
rule.c:205,1.0,112.18333333333334
default.c:565,1.0,112.18333333333334
file.c:353,1.0,112.18333333333334
default.c:538,1.0,112.18333333333334
implicit.c:35,1.0,112.18333333333334
dir.c:237,1.0,112.18333333333334
strcache.c:59,1.0,112.18333333333334
function.c:707,1.0,112.18333333333334
main.c:1054,1.0,112.18333333333334
read.c:319,1.0,112.18333333333334
variable.c:1136,1.0,112.18333333333334
strcache.c:75,1.0,112.18333333333334
expand.c:193,1.0,112.18333333333334
variable.c:192,1.0,112.18333333333334
variable.c:1407,1.0,112.18333333333334
main.c:3372,1.0,112.18333333333334
function.c:2540,1.0,112.18333333333334
misc.c:448,1.0,112.18333333333334
file.c:1073,1.0,112.18333333333334
job.c:2419,1.0,112.18333333333334
hash.c:125,1.0,112.18333333333334
remake.c:79,1.0,112.18333333333334
remake.c:848,1.0,112.18333333333334
main.c:2547,1.0,112.18333333333334
file.c:649,1.0,112.18333333333334
read.c:2766,1.0,112.18333333333334
dir.c:414,1.0,112.18333333333334
remake.c:1224,1.0,112.18333333333334
file.c:793,1.0,112.18333333333334
read.c:488,1.0,112.18333333333334
remake.c:285,1.0,112.18333333333334
read.c:1542,1.0,112.18333333333334
variable.c:430,1.0,112.18333333333334
misc.c:314,1.0,112.18333333333334
variable.c:785,1.0,112.18333333333334
main.c:603,1.0,112.18333333333334
misc.c:526,1.0,112.18333333333334
hash.c:40,1.0,112.18333333333334
rule.c:68,1.0,112.18333333333334
read.c:2472,1.0,112.18333333333334
function.c:2250,1.0,112.18333333333334
main.c:2989,1.0,112.18333333333334
main.c:2714,1.0,112.18333333333334
hash.c:83,1.0,112.18333333333334
function.c:2293,1.0,112.18333333333334
function.c:269,1.0,112.18333333333334
main.c:590,1.0,112.18333333333334
job.c:821,1.0,112.18333333333334
expand.c:55,1.0,112.18333333333334
hash.c:134,1.0,112.18333333333334
main.c:2899,1.0,112.18333333333334
strcache.c:188,1.0,112.18333333333334
read.c:2211,1.0,112.18333333333334
expand.c:459,1.0,112.18333333333334
strcache.c:150,1.0,112.18333333333334
file.c:816,1.0,112.18333333333334
misc.c:425,1.0,112.18333333333334
file.c:147,1.0,112.18333333333334
vpath.c:54,1.0,112.18333333333334
rule.c:356,1.0,112.18333333333334
hash.c:118,1.0,112.18333333333334
ar.c:32,1.0,112.18333333333334
function.c:1025,1.0,112.18333333333334
strcache.c:170,1.0,112.18333333333334
hash.c:66,1.0,112.18333333333334
function.c:44,1.0,112.18333333333334
file.c:1053,1.0,112.18333333333334
expand.c:428,1.0,112.18333333333334
misc.c:142,1.0,112.18333333333334
default.c:590,1.0,112.18333333333334
rule.c:281,1.0,112.18333333333334
variable.c:150,1.0,112.18333333333334
dir.c:733,1.0,112.18333333333334
dir.c:381,1.0,112.18333333333334
expand.c:76,1.0,112.18333333333334
hash.c:315,1.0,112.18333333333334
read.c:2346,1.0,112.18333333333334
misc.c:50,1.0,112.18333333333334
default.c:605,1.0,112.18333333333334
main.c:765,1.0,112.18333333333334
file.c:73,1.0,112.18333333333334
remake.c:1425,1.0,112.18333333333334
expand.c:557,1.0,112.18333333333334
remote-stub.c:27,1.0,112.18333333333334
misc.c:388,1.0,112.18333333333334
expand.c:157,1.0,112.18333333333334
misc.c:1027,1.0,112.18333333333334
function.c:51,1.0,112.18333333333334
misc.c:474,1.0,112.18333333333334
main.c:3289,1.0,112.18333333333334
variable.c:143,1.0,112.18333333333334
misc.c:496,1.0,112.18333333333334
misc.c:727,1.0,112.18333333333334
dir.c:343,1.0,112.18333333333334
hash.c:221,1.0,112.18333333333334
strcache.c:194,1.0,112.18333333333334
dir.c:387,1.0,112.18333333333334
remote-stub.c:34,1.0,112.18333333333334
dir.c:355,1.0,112.18333333333334
dir.c:1232,1.0,112.18333333333334
misc.c:399,1.0,112.18333333333334
dir.c:393,1.0,112.18333333333334
strcache.c:135,1.0,112.18333333333334
function.c:58,1.0,112.18333333333334
main.c:742,1.0,112.18333333333334
expand.c:416,1.0,112.18333333333334
variable.c:178,1.0,112.18333333333334
misc.c:410,1.0,112.18333333333334
file.c:1127,1.0,112.18333333333334
main.c:3426,1.0,112.18333333333334
file.c:636,1.0,112.18333333333334
misc.c:486,1.0,112.18333333333334
misc.c:906,1.0,112.18333333333334
read.c:1383,1.0,112.18333333333334
main.c:690,1.0,112.18333333333334
variable.c:136,1.0,112.18333333333334
misc.c:508,1.0,112.18333333333334
file.c:53,1.0,112.18333333333334
dir.c:1221,1.0,112.18333333333334
file.c:41,1.0,112.18333333333334
file.c:47,1.0,112.18333333333334
strcache.c:129,1.0,112.18333333333334
strcache.c:218,1.0,112.18333333333334
vpath.c:524,1.0,112.18333333333334
