com.google.javascript.jscomp.PeepholeFoldConstants:947	1.0 1.0 0.4082482904638631
com.google.javascript.jscomp.PeepholeFoldConstants:948	1.0 1.0 0.4082482904638631
com.google.javascript.jscomp.PeepholeFoldConstants:949	1.0 1.0 0.4082482904638631
com.google.javascript.jscomp.PeepholeFoldConstants:1031	2.0 6.0 0.4082482904638631
com.google.javascript.jscomp.PeepholeFoldConstants:1032	2.0 6.0 0.4082482904638631
com.google.javascript.jscomp.PeepholeFoldConstants:1142	1.0 1.0 0.4082482904638631
com.google.javascript.jscomp.PeepholeFoldConstants:254	1.0 1.0 0.4082482904638631
com.google.javascript.jscomp.PeepholeFoldConstants:736	1.0 1.0 0.4082482904638631
com.google.javascript.jscomp.PeepholeFoldConstants:1014	1.0 1.0 0.4082482904638631
com.google.javascript.jscomp.NodeUtil:264	2.0 6.0 0.4082482904638631
com.google.javascript.jscomp.NodeUtil:2138	1.0 1.0 0.4082482904638631
com.google.javascript.jscomp.NodeUtil:2139	1.0 1.0 0.4082482904638631
com.google.javascript.jscomp.NodeUtil:280	1.0 1.0 0.4082482904638631
com.google.javascript.jscomp.NodeUtil:298	1.0 1.0 0.4082482904638631
com.google.javascript.jscomp.NodeUtil:299	1.0 1.0 0.4082482904638631
com.google.javascript.jscomp.NodeUtil:300	1.0 1.0 0.4082482904638631
com.google.javascript.jscomp.NodeUtil:1119	1.0 1.0 0.4082482904638631
com.google.javascript.jscomp.NodeUtil:1120	1.0 1.0 0.4082482904638631
com.google.javascript.jscomp.NodeUtil:2124	1.0 1.0 0.4082482904638631
com.google.javascript.jscomp.NodeUtil:2126	1.0 1.0 0.4082482904638631
com.google.javascript.jscomp.CodeGenerator:232	3.0 17.0 0.3872983346207417
com.google.javascript.jscomp.CodeGenerator:233	3.0 17.0 0.3872983346207417
com.google.javascript.jscomp.CodeGenerator:234	3.0 17.0 0.3872983346207417
com.google.javascript.jscomp.CodeGenerator:235	3.0 17.0 0.3872983346207417
com.google.javascript.jscomp.PeepholeFoldConstants:1030	2.0 7.0 0.3849001794597505
com.google.javascript.jscomp.NodeUtil:2176	3.0 19.0 0.3692744729379982
com.google.javascript.jscomp.NodeUtil:2177	3.0 19.0 0.3692744729379982
com.google.javascript.jscomp.NodeUtil:2181	3.0 19.0 0.3692744729379982
com.google.javascript.rhino.Node:1499	3.0 19.0 0.3692744729379982
com.google.javascript.jscomp.PeepholeFoldConstants:1025	2.0 8.0 0.3651483716701107
com.google.javascript.jscomp.PeepholeFoldConstants:346	3.0 20.0 0.3611575592573076
com.google.javascript.jscomp.PeepholeFoldConstants:344	3.0 21.0 0.3535533905932738
com.google.javascript.jscomp.PeepholeFoldConstants:345	3.0 21.0 0.3535533905932738
com.google.javascript.jscomp.PeepholeFoldConstants:1064	2.0 9.0 0.3481553119113957
com.google.javascript.jscomp.PeepholeFoldConstants:1065	2.0 9.0 0.3481553119113957
com.google.javascript.jscomp.PeepholeFoldConstants:1066	2.0 9.0 0.3481553119113957
com.google.javascript.jscomp.PeepholeFoldConstants:1068	2.0 9.0 0.3481553119113957
com.google.javascript.jscomp.PeepholeFoldConstants:343	3.0 23.0 0.3396831102433787
com.google.javascript.jscomp.PeepholeFoldConstants:1106	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.PeepholeFoldConstants:1107	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.PeepholeFoldConstants:1108	1.0 2.0 0.3333333333333333
