org.apache.commons.math3.util.FastMath:884	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:890	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:899	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:900	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:901	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:902	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:903	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:910	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:911	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:917	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:919	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:920	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:925	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:931	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1096	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1106	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1112	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1123	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1134	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1154	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1155	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1213	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1215	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1216	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1218	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1220	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1221	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1222	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1223	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1224	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1227	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1228	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1229	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1230	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1233	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1234	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1236	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1238	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1239	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1241	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1242	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1243	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1246	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1247	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1249	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1250	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1251	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1255	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1256	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1264	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1265	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1266	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1269	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1270	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1271	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1272	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1273	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1274	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1275	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1292	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1293	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1294	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1295	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1296	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1297	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1300	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1301	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1304	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1305	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1307	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1309	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1310	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1311	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1312	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1314	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1315	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1316	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1317	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1319	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1320	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1321	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1324	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1431	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1456	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1467	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1479	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1503	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1517	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1534	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1535	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1536	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1537	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1538	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1546	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1547	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1551	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1552	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1555	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1556	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1557	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1558	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1561	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1562	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1564	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1565	1.0 2.25 0.5547001962252291
