com.google.javascript.jscomp.NodeUtil:3337	2.0 3777.0 0.02300522853234348
com.google.javascript.jscomp.NodeUtil:3338	2.0 3777.0 0.02300522853234348
com.google.javascript.jscomp.NodeUtil:3339	2.0 3777.0 0.02300522853234348
com.google.javascript.jscomp.NodeUtil:3340	2.0 3777.0 0.02300522853234348
com.google.javascript.jscomp.NodeUtil:3341	2.0 3777.0 0.02300522853234348
com.google.javascript.jscomp.NodeUtil:3343	2.0 3777.0 0.02300522853234348
com.google.javascript.rhino.Node:1558	2.0 3823.0 0.022866478019001178
com.google.javascript.jscomp.parsing.IRFactory:257	1.0 964.0 0.02276257268029927
com.google.javascript.jscomp.RecentChange:36	2.0 3930.0 0.022553203740992234
com.google.javascript.jscomp.RecentChange:37	2.0 3930.0 0.022553203740992234
com.google.javascript.jscomp.AstValidator:340	2.0 3971.0 0.02243653128423514
com.google.javascript.jscomp.AstValidator:341	2.0 3971.0 0.02243653128423514
com.google.javascript.jscomp.AstValidator:342	2.0 3971.0 0.02243653128423514
com.google.javascript.jscomp.AstValidator:77	2.0 4073.0 0.022153951024868453
com.google.javascript.jscomp.AstValidator:80	2.0 4073.0 0.022153951024868453
com.google.javascript.jscomp.AstValidator:82	2.0 4073.0 0.022153951024868453
com.google.javascript.jscomp.AstValidator:331	2.0 4074.0 0.022151233248863027
com.google.javascript.jscomp.AstValidator:334	2.0 4076.0 0.022145800696175846
com.google.javascript.jscomp.AstValidator:337	2.0 4076.0 0.022145800696175846
com.google.javascript.jscomp.AstValidator:89	2.0 4103.0 0.022072850260802523
com.google.javascript.jscomp.AstValidator:777	2.0 4109.0 0.022056736728838056
com.google.javascript.jscomp.AstValidator:86	2.0 4110.0 0.022054054569561544
com.google.javascript.jscomp.AstValidator:304	2.0 4110.0 0.022054054569561544
com.google.javascript.jscomp.AstValidator:308	2.0 4110.0 0.022054054569561544
com.google.javascript.jscomp.AstValidator:311	2.0 4110.0 0.022054054569561544
com.google.javascript.jscomp.AstValidator:768	2.0 4110.0 0.022054054569561544
com.google.javascript.rhino.Node:1527	2.0 4216.0 0.02177517781546711
com.google.javascript.jscomp.CompilerOptions:2250	2.0 4329.0 0.02148923256283155
com.google.javascript.jscomp.Compiler:974	2.0 4329.0 0.02148923256283155
com.google.javascript.jscomp.Compiler:1317	2.0 4329.0 0.02148923256283155
com.google.javascript.jscomp.DependencyOptions:122	2.0 4329.0 0.02148923256283155
com.google.javascript.rhino.IR:103	2.0 4330.0 0.021486752129677003
com.google.javascript.rhino.IR:104	2.0 4330.0 0.021486752129677003
com.google.javascript.rhino.IR:105	2.0 4330.0 0.021486752129677003
com.google.javascript.rhino.IR:106	2.0 4330.0 0.021486752129677003
com.google.javascript.rhino.IR:108	2.0 4330.0 0.021486752129677003
com.google.javascript.rhino.IR:527	2.0 4332.0 0.021481793839053773
com.google.javascript.rhino.IR:539	2.0 4333.0 0.02147931598059475
com.google.javascript.rhino.IR:542	2.0 4333.0 0.02147931598059475
com.google.javascript.rhino.IR:504	2.0 4335.0 0.021474362834909017
com.google.javascript.jscomp.Tracer:413	2.0 4340.0 0.021461994946516343
com.google.javascript.jscomp.RecentChange:32	2.0 4341.0 0.021459523932180074
com.google.javascript.jscomp.Tracer:221	2.0 4341.0 0.021459523932180074
com.google.javascript.jscomp.Tracer:239	2.0 4341.0 0.021459523932180074
com.google.javascript.jscomp.Tracer:240	2.0 4341.0 0.021459523932180074
com.google.javascript.jscomp.Tracer:253	2.0 4341.0 0.021459523932180074
com.google.javascript.jscomp.Tracer:224	2.0 4341.0 0.021459523932180074
com.google.javascript.jscomp.NodeUtil:1796	2.0 4666.0 0.020699009990027696
com.google.javascript.jscomp.SyntacticScopeCreator:61	2.0 4815.0 0.020376363272064574
com.google.javascript.jscomp.SyntacticScopeCreator:75	2.0 4847.0 0.020309017123712404
com.google.javascript.jscomp.SyntacticScopeCreator:81	2.0 4847.0 0.020309017123712404
com.google.javascript.jscomp.SyntacticScopeCreator:94	2.0 4847.0 0.020309017123712404
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:236	2.0 4889.0 0.020221630311311505
com.google.javascript.jscomp.parsing.IRFactory:569	2.0 5003.0 0.019990007493755464
com.google.javascript.jscomp.NodeTraversal:662	2.0 5021.0 0.019954158094088514
com.google.javascript.jscomp.NodeTraversal:554	2.0 5111.0 0.019777759953384867
com.google.javascript.jscomp.NodeUtil:1794	2.0 5248.0 0.019518001458970664
com.google.javascript.jscomp.Scope:531	2.0 5252.0 0.019510570275964218
com.google.javascript.jscomp.Scope:529	2.0 5337.0 0.019354637309712694
com.google.javascript.jscomp.Scope:530	2.0 5337.0 0.019354637309712694
com.google.javascript.jscomp.SyntacticScopeCreator:161	2.0 5522.0 0.01902778181530907
com.google.javascript.jscomp.SyntacticScopeCreator:58	2.0 5524.0 0.01902433818451165
com.google.javascript.jscomp.SyntacticScopeCreator:64	2.0 5524.0 0.01902433818451165
com.google.javascript.jscomp.SyntacticScopeCreator:68	2.0 5524.0 0.01902433818451165
