org.apache.commons.math3.linear.TriDiagonalTransformer:118	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:119	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:120	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:121	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:198	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:199	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:200	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:201	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:202	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:203	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:205	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:206	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:207	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:210	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:211	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:217	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:218	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:219	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:220	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:221	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:222	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:223	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:224	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:225	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:227	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:231	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:232	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:233	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:235	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:238	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:239	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:244	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:245	15.0 0.0 0.7319250547113999
