org.apache.commons.math.dfp.Dfp:209	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:212	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:213	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:214	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:216	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:217	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:225	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:226	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:227	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:229	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:232	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:233	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:234	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:235	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:236	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:237	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:240	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:250	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:319	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:320	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:321	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:322	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:323	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:324	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:325	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:331	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:334	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:335	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:336	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:337	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:338	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:340	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:341	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:342	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:343	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:346	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:352	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:358	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:365	1.0 62.0 0.1259881576697424
