com.google.javascript.rhino.Node:933	1.0 0.0 1.0
com.google.javascript.jscomp.CodeGenerator:740	1.0 26.0 0.19245008972987526
com.google.javascript.jscomp.CodeGenerator:741	1.0 26.0 0.19245008972987526
com.google.javascript.jscomp.CodeGenerator:742	1.0 26.0 0.19245008972987526
com.google.javascript.jscomp.CodeGenerator:750	1.0 26.0 0.19245008972987526
com.google.javascript.jscomp.CodeGenerator:777	1.0 26.0 0.19245008972987526
com.google.javascript.jscomp.CodeGenerator:794	1.0 26.0 0.19245008972987526
com.google.javascript.jscomp.CodeGenerator:1045	1.0 26.0 0.19245008972987526
com.google.javascript.jscomp.CodeGenerator:1046	1.0 26.0 0.19245008972987526
com.google.javascript.jscomp.CodeGenerator:1052	1.0 26.0 0.19245008972987526
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:173	1.0 27.0 0.1889822365046136
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:174	1.0 27.0 0.1889822365046136
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:522	1.0 29.0 0.18257418583505536
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:533	1.0 29.0 0.18257418583505536
com.google.javascript.jscomp.NodeUtil:304	1.0 30.0 0.1796053020267749
com.google.javascript.jscomp.NodeUtil:307	1.0 30.0 0.1796053020267749
com.google.javascript.jscomp.CodeGenerator:736	1.0 31.0 0.17677669529663687
com.google.javascript.jscomp.CodeGenerator:754	1.0 31.0 0.17677669529663687
com.google.javascript.jscomp.CodeGenerator:1034	1.0 31.0 0.17677669529663687
com.google.javascript.jscomp.CodeGenerator:1036	1.0 31.0 0.17677669529663687
com.google.javascript.jscomp.CodeGenerator:1037	1.0 31.0 0.17677669529663687
com.google.javascript.jscomp.CodeGenerator:759	1.0 32.0 0.17407765595569785
com.google.javascript.jscomp.CodeGenerator:762	1.0 32.0 0.17407765595569785
com.google.javascript.jscomp.CodeGenerator:766	1.0 32.0 0.17407765595569785
com.google.javascript.jscomp.CodeGenerator:770	1.0 32.0 0.17407765595569785
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:68	1.0 33.0 0.17149858514250882
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:69	1.0 33.0 0.17149858514250882
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:260	1.0 33.0 0.17149858514250882
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:262	1.0 33.0 0.17149858514250882
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:267	1.0 33.0 0.17149858514250882
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:271	1.0 33.0 0.17149858514250882
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:272	1.0 33.0 0.17149858514250882
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:274	1.0 33.0 0.17149858514250882
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:520	1.0 33.0 0.17149858514250882
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:521	1.0 33.0 0.17149858514250882
com.google.javascript.jscomp.NodeUtil:2181	1.0 33.0 0.17149858514250882
com.google.javascript.jscomp.NodeUtil:2185	1.0 33.0 0.17149858514250882
com.google.javascript.jscomp.NodeUtil:2189	1.0 33.0 0.17149858514250882
com.google.javascript.jscomp.NodeUtil:2195	1.0 33.0 0.17149858514250882
com.google.javascript.jscomp.parsing.IRFactory:562	1.0 33.0 0.17149858514250882
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:237	1.0 33.0 0.17149858514250882
com.google.javascript.jscomp.NodeUtil:128	1.0 34.0 0.1690308509457033
com.google.javascript.jscomp.CodeGenerator:725	1.0 35.0 0.16666666666666666
com.google.javascript.jscomp.CodeGenerator:726	1.0 35.0 0.16666666666666666
com.google.javascript.jscomp.CodeGenerator:1031	1.0 35.0 0.16666666666666666
com.google.javascript.jscomp.CodeGenerator:1032	1.0 35.0 0.16666666666666666
com.google.javascript.jscomp.CodeGenerator:1033	1.0 35.0 0.16666666666666666
com.google.javascript.jscomp.CodeGenerator:1040	1.0 35.0 0.16666666666666666
com.google.javascript.jscomp.NodeUtil:122	1.0 36.0 0.1643989873053573
com.google.javascript.jscomp.NodeUtil:123	1.0 36.0 0.1643989873053573
com.google.javascript.jscomp.CodeGenerator:716	1.0 36.0 0.1643989873053573
com.google.javascript.jscomp.CodeGenerator:718	1.0 36.0 0.1643989873053573
com.google.javascript.jscomp.CodeGenerator:724	1.0 36.0 0.1643989873053573
com.google.javascript.jscomp.NodeUtil:364	1.0 39.0 0.15811388300841897
com.google.javascript.jscomp.NodeUtil:338	1.0 41.0 0.1543033499620919
com.google.javascript.jscomp.CodeGenerator:88	1.0 41.0 0.1543033499620919
com.google.javascript.jscomp.CodeGenerator:92	1.0 41.0 0.1543033499620919
com.google.javascript.jscomp.CodeGenerator:93	1.0 41.0 0.1543033499620919
com.google.javascript.jscomp.CodeGenerator:94	1.0 41.0 0.1543033499620919
com.google.javascript.jscomp.CodeGenerator:98	1.0 41.0 0.1543033499620919
com.google.javascript.jscomp.CodeGenerator:103	1.0 41.0 0.1543033499620919
com.google.javascript.jscomp.CodeGenerator:106	1.0 41.0 0.1543033499620919
com.google.javascript.jscomp.CodeGenerator:110	1.0 41.0 0.1543033499620919
com.google.javascript.jscomp.CodeGenerator:112	1.0 41.0 0.1543033499620919
