org.apache.commons.lang3.math.NumberUtils:373	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:374	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:377	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:378	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:379	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:452	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:462	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:463	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:467	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:468	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:471	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:474	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:499	0 6.0 0.0
org.apache.commons.lang3.math.NumberUtils:500	0 4.0 0.0
org.apache.commons.lang3.math.NumberUtils:501	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:505	0 4.0 0.0
org.apache.commons.lang3.math.NumberUtils:507	0 5.0 0.0
org.apache.commons.lang3.math.NumberUtils:510	0 4.0 0.0
org.apache.commons.lang3.math.NumberUtils:511	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:513	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:516	0 4.0 0.0
org.apache.commons.lang3.math.NumberUtils:517	0 4.0 0.0
org.apache.commons.lang3.math.NumberUtils:518	0 4.0 0.0
org.apache.commons.lang3.math.NumberUtils:521	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:525	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:526	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:529	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:536	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:537	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:540	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:545	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:550	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:551	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:552	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:556	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:558	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:578	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:579	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:583	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:584	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:587	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:599	0.0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:601	0.0 4.0 0.0
org.apache.commons.lang3.math.NumberUtils:602	0.0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:603	0.0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:659	0.0 6.0 0.0
org.apache.commons.lang3.math.NumberUtils:662	0.0 6.0 0.0
org.apache.commons.lang3.math.NumberUtils:676	0 4.0 0.0
org.apache.commons.lang3.math.NumberUtils:680	0 4.0 0.0
org.apache.commons.lang3.math.NumberUtils:694	0 5.0 0.0
org.apache.commons.lang3.math.NumberUtils:697	0 5.0 0.0
org.apache.commons.lang3.math.NumberUtils:711	0 4.0 0.0
org.apache.commons.lang3.math.NumberUtils:714	0 4.0 0.0
org.apache.commons.lang3.math.NumberUtils:715	0 4.0 0.0
org.apache.commons.lang3.math.NumberUtils:716	0 4.0 0.0
org.apache.commons.lang3.math.NumberUtils:717	0 4.0 0.0
org.apache.commons.lang3.math.NumberUtils:721	0 4.0 0.0
org.apache.commons.lang3.math.NumberUtils:724	0 4.0 0.0
org.apache.commons.lang3.math.NumberUtils:727	0 4.0 0.0
org.apache.commons.lang3.math.NumberUtils:732	0 4.0 0.0
org.apache.commons.lang3.math.NumberUtils:733	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:746	0 6.0 0.0
org.apache.commons.lang3.math.NumberUtils:750	0 6.0 0.0
org.apache.commons.lang3.math.NumberUtils:753	0 6.0 0.0
org.apache.commons.lang3.math.NumberUtils:760	0 5.0 0.0
org.apache.commons.lang3.math.NumberUtils:1297	0 4.0 0.0
org.apache.commons.lang3.math.NumberUtils:1300	0 4.0 0.0
org.apache.commons.lang3.math.NumberUtils:1301	0 4.0 0.0
org.apache.commons.lang3.math.NumberUtils:1305	0 4.0 0.0
org.apache.commons.lang3.math.NumberUtils:543	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:554	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:559	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:564	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:758	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:490	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:503	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:597	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:605	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:609	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:469	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:472	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:607	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:722	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:723	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:725	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:726	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:728	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:729	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:644	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:660	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:677	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:695	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:712	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:718	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:719	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:747	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:751	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:775	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:1066	0 37.0 0.0
org.apache.commons.lang3.math.NumberUtils:1067	0 13.0 0.0
org.apache.commons.lang3.math.NumberUtils:1068	0 25.0 0.0
org.apache.commons.lang3.math.NumberUtils:1069	0 13.0 0.0
org.apache.commons.lang3.math.NumberUtils:778	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:779	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:780	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:781	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:785	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1071	0 13.0 0.0
org.apache.commons.lang3.math.NumberUtils:798	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:801	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:802	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:803	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:804	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:808	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:821	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:824	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:825	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:826	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:827	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:831	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:844	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:847	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:848	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:849	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:850	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:854	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:868	0 4.0 0.0
org.apache.commons.lang3.math.NumberUtils:871	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:872	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:873	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:876	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:877	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:881	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:895	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:898	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:899	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:900	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:903	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:904	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:908	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:923	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:926	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:927	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:928	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:929	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:933	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:946	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:949	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:950	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:951	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:952	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:956	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:969	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:972	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:973	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:974	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:975	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:979	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:992	0 3.0 0.0
org.apache.commons.lang3.math.NumberUtils:995	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:996	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:997	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:998	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1002	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1016	0 4.0 0.0
org.apache.commons.lang3.math.NumberUtils:1019	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:1020	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:1021	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:1024	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:1025	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1029	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1043	0 4.0 0.0
org.apache.commons.lang3.math.NumberUtils:1046	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:1047	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:1048	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:1051	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:1052	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1056	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1084	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1085	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1087	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1088	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1090	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1102	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1103	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1105	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1106	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1108	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1120	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1121	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1123	0 1.0 0.0
